"Letter","degree","strength","betweenness"
"H",17,5.12602339511463,0
"M",17,5.1889448697532,0
"T",17,4.82330583784499,0
"A",17,4.9382831613966,0
"G",17,5.55624210506726,0
"F",17,5.41953203685335,0
"R",17,5.53503817140396,0
"C",17,5.89840529016254,0
"K",17,5.61948974511321,0
"L",17,5.94975592118486,0
"J",17,5.00727437282909,0
"I",17,3.94724189121788,0
"B",17,3.8839527542927,0
"P",17,2.59239396488313,39
"D",17,4.96336597538986,0
"O",17,3.8617265465511,0
"N",17,4.53426681205961,0
"Q",17,2.7479869169079,23
