"","XIdentifier","Date","Time","Unitnumber","Antennanumber","Transpondertype","Transpondercode","Weight","Inputstatus","Outputstatus","Event","GPScoordinates"
"1","""1"",""204638","25-06-2021","15:47:29",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"2","""2"",""204639","25-06-2021","15:47:29",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"3","""3"",""204640","25-06-2021","15:47:30",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"4","""4"",""204641","25-06-2021","15:47:31",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"5","""5"",""204642","25-06-2021","15:47:39",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"6","""6"",""204643","25-06-2021","15:47:39",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"7","""7"",""204644","25-06-2021","15:47:39",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"8","""8"",""204645","25-06-2021","15:47:40",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"9","""9"",""204646","25-06-2021","15:47:40",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"10","""10"",""204647","25-06-2021","15:47:42",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"11","""11"",""204648","25-06-2021","15:47:43",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"12","""12"",""204649","25-06-2021","15:47:44",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"13","""13"",""204650","25-06-2021","15:47:45",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"14","""14"",""204651","25-06-2021","15:47:45",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"15","""15"",""204652","25-06-2021","15:47:46",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"16","""16"",""204653","25-06-2021","15:47:46",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"17","""17"",""204654","25-06-2021","15:47:46",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"18","""18"",""204655","25-06-2021","15:47:47",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"19","""19"",""204656","25-06-2021","15:47:47",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"20","""20"",""204657","25-06-2021","15:47:47",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"21","""21"",""204658","25-06-2021","15:47:47",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"22","""22"",""204659","25-06-2021","15:47:48",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"23","""23"",""204660","25-06-2021","15:47:48",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"24","""24"",""204661","25-06-2021","15:47:48",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"25","""25"",""204662","25-06-2021","15:47:49",10,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"26","""26"",""204663","25-06-2021","15:54:41",30,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
"27","""27"",""204664","25-06-2021","15:54:42",30,"-","Trovan Unique","0007AC6CCE","-",0,0,"-",""""""""""""
