"Letter","degree","strength","betweenness"
"H",17,5.2818284773879,0
"M",17,5.351413974387,0
"T",17,4.8346657166162,0
"A",17,4.74946576337554,0
"G",17,5.48917124479832,0
"F",17,5.50686306798502,0
"R",17,5.48517334296187,0
"C",17,5.82452320106211,0
"K",17,5.36266530820642,0
"L",17,6.05467808572932,0
"J",17,5.08565098838485,0
"I",17,4.05779661894852,0
"B",17,3.45377419965254,0
"P",17,2.75531557136224,26
"D",17,5.10046250950378,0
"O",17,3.78485155889213,0
"N",17,4.37086244657214,0
"Q",17,2.58475461180012,43
