"Letter","degree","strength","betweenness"
"A",19,4.82802339161507,0
"D",19,4.43695477044745,0
"I",19,4.15347598357304,0
"M",19,4.59700225367267,0
"L",19,5.11332517612368,0
"J",19,4.40531750131488,0
"H",19,4.86046162367134,0
"K",19,4.53490583313678,0
"B",19,4.04681570597766,0
"F",19,3.84398254743825,0
"G",19,4.08116713736885,0
"R",19,3.98797075259574,0
"P",19,1.76842684482173,15
"N",19,4.12783545719309,0
"T",19,4.35244065941566,0
"Q",19,1.50878485875267,106
"S",19,2.50667399449141,0
"O",19,2.61891728046,0
"E",19,3.17585419952499,6
"C",19,2.87698944138627,1
