,XIdentifier,Date,Time,RoundTime,Unitnumber,Antennanumber,Transpondertype,Transpondercode,Weight,Inputstatus,Outputstatus,Event,GPScoordinates
1,"""1"",""186258",05/06/2021,19:35:59,19:36:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
2,"""2"",""186259",05/06/2021,19:36:02,19:36:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
3,"""3"",""186260",05/06/2021,19:45:31,19:45:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
4,"""4"",""186261",06/06/2021,05:43:36,05:43:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
5,"""5"",""186262",06/06/2021,06:09:22,06:09:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
6,"""6"",""186263",06/06/2021,06:19:39,06:19:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
7,"""7"",""186264",06/06/2021,06:19:40,06:19:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
8,"""8"",""186265",06/06/2021,07:47:22,07:47:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
9,"""9"",""186266",06/06/2021,08:28:26,08:28:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
10,"""10"",""186267",06/06/2021,08:28:27,08:28:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
11,"""11"",""186268",06/06/2021,14:26:40,14:26:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
12,"""12"",""186269",06/06/2021,14:31:28,14:31:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
13,"""13"",""186270",06/06/2021,14:31:35,14:31:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
14,"""14"",""186271",06/06/2021,14:31:35,14:31:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
15,"""15"",""186272",06/06/2021,14:31:36,14:31:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
16,"""16"",""186273",06/06/2021,14:31:38,14:31:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
17,"""17"",""186274",06/06/2021,14:53:39,14:53:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
18,"""18"",""186275",06/06/2021,14:53:41,14:53:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
19,"""19"",""186276",06/06/2021,14:53:42,14:53:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
20,"""20"",""186277",06/06/2021,15:32:55,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
21,"""21"",""186278",06/06/2021,15:32:56,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
22,"""22"",""186279",06/06/2021,15:32:57,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
23,"""23"",""186280",06/06/2021,15:32:57,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
24,"""24"",""186281",06/06/2021,15:32:58,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
25,"""25"",""186282",06/06/2021,15:33:05,15:33:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
26,"""26"",""186283",06/06/2021,15:33:31,15:33:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
27,"""27"",""186284",06/06/2021,15:33:31,15:33:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
28,"""28"",""186285",06/06/2021,15:33:32,15:33:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
29,"""29"",""186286",06/06/2021,15:33:32,15:33:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
30,"""30"",""186287",06/06/2021,15:33:35,15:33:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
31,"""31"",""186288",06/06/2021,15:33:51,15:33:45,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
32,"""32"",""186289",06/06/2021,15:33:51,15:33:45,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
33,"""33"",""186290",06/06/2021,15:33:52,15:33:45,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
34,"""34"",""186291",06/06/2021,15:33:52,15:33:45,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
35,"""35"",""186292",06/06/2021,15:33:53,15:34:00,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
36,"""36"",""186293",06/06/2021,15:33:54,15:34:00,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
37,"""37"",""186294",06/06/2021,15:33:54,15:34:00,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
38,"""38"",""186295",06/06/2021,15:33:55,15:34:00,20,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
39,"""39"",""186296",06/06/2021,15:46:07,15:46:00,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
40,"""40"",""186297",06/06/2021,15:46:10,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
41,"""41"",""186298",06/06/2021,15:46:12,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
42,"""42"",""186299",06/06/2021,15:46:12,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
43,"""43"",""186300",06/06/2021,15:46:13,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
44,"""44"",""186301",06/06/2021,15:46:14,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
45,"""45"",""186302",06/06/2021,15:46:14,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
46,"""46"",""186303",06/06/2021,15:46:15,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
47,"""47"",""186304",06/06/2021,15:46:16,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
48,"""48"",""186305",06/06/2021,15:46:16,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
49,"""49"",""186306",06/06/2021,15:46:17,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
50,"""50"",""186307",06/06/2021,15:46:17,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
51,"""51"",""186308",06/06/2021,15:46:18,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
52,"""52"",""186309",06/06/2021,15:46:18,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
53,"""53"",""186310",06/06/2021,15:46:19,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
54,"""54"",""186311",06/06/2021,15:46:19,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
55,"""55"",""186312",06/06/2021,15:46:20,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
56,"""56"",""186313",06/06/2021,15:46:20,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
57,"""57"",""186314",06/06/2021,15:46:21,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
58,"""58"",""186315",06/06/2021,15:46:22,15:46:15,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
59,"""59"",""186316",06/06/2021,15:46:23,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
60,"""60"",""186317",06/06/2021,15:46:23,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
61,"""61"",""186318",06/06/2021,15:46:24,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
62,"""62"",""186319",06/06/2021,15:46:24,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
63,"""63"",""186320",06/06/2021,15:46:25,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
64,"""64"",""186321",06/06/2021,15:46:25,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
65,"""65"",""186322",06/06/2021,15:46:26,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
66,"""66"",""186323",06/06/2021,15:46:27,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
67,"""67"",""186324",06/06/2021,15:46:27,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
68,"""68"",""186325",06/06/2021,15:46:28,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
69,"""69"",""186326",06/06/2021,15:46:28,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
70,"""70"",""186327",06/06/2021,15:46:29,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
71,"""71"",""186328",06/06/2021,15:46:29,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
72,"""72"",""186329",06/06/2021,15:46:30,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
73,"""73"",""186330",06/06/2021,15:46:31,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
74,"""74"",""186331",06/06/2021,15:46:31,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
75,"""75"",""186332",06/06/2021,15:46:33,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
76,"""76"",""186333",06/06/2021,15:46:34,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
77,"""77"",""186334",06/06/2021,15:46:35,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
78,"""78"",""186335",06/06/2021,15:46:36,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
79,"""79"",""186336",06/06/2021,15:46:37,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
80,"""80"",""186337",06/06/2021,15:46:37,15:46:30,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
81,"""81"",""186338",06/06/2021,15:46:38,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
82,"""82"",""186339",06/06/2021,15:46:39,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
83,"""83"",""186340",06/06/2021,15:46:39,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
84,"""84"",""186341",06/06/2021,15:46:40,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
85,"""85"",""186342",06/06/2021,15:46:40,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
86,"""86"",""186343",06/06/2021,15:46:41,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
87,"""87"",""186344",06/06/2021,15:46:41,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
88,"""88"",""186345",06/06/2021,15:46:42,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
89,"""89"",""186346",06/06/2021,15:46:42,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
90,"""90"",""186347",06/06/2021,15:46:44,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
91,"""91"",""186348",06/06/2021,15:46:47,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
92,"""92"",""186349",06/06/2021,15:46:47,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
93,"""93"",""186350",06/06/2021,15:46:48,15:46:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
94,"""94"",""186351",06/06/2021,15:49:49,15:49:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
95,"""95"",""186352",06/06/2021,15:49:50,15:49:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
96,"""96"",""186353",06/06/2021,15:49:50,15:49:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
97,"""97"",""186354",06/06/2021,15:49:51,15:49:45,30,-,Trovan Unique,0007AC6CCE,-,0,0,-,""""""""""""
