"Transpondercode","degree","strength","betweenness"
"0007ABAEC7",16,2.95084970082278,24
"00079D4DD3",15,2.43844147394172,0
"0007B0F1CE",16,3.94943036637724,0
"0007B117A4",15,4.22842412115646,0
"000783A8B7",15,1.50764614849117,27
"00078395C8",15,4.20770856564577,0
"000783A3D1",16,4.26230756685448,0
"00078397BE",15,4.13203298350687,0
"0007B015D8",15,3.04409517716854,0
"0007AC4333",16,4.37541160541499,3
"0007AC60AD",15,3.89645531669563,0
"0007ABB698",15,1.80446953908726,17
"0007AFDFC5",15,1.79557584431469,0
"0007B046BA",16,3.85866904670163,14
"000783D5F0",15,1.98096527094955,2
"0007AC512E",15,3.21590155836366,0
"00076C42B3",5,0.0502936507139774,40
