,XIdentifier,Date,Time,RoundTime,Unitnumber,Antennanumber,Transpondertype,Transpondercode,Weight,Inputstatus,Outputstatus,Event,GPScoordinates
1,"""1"",""25",01/04/2021,17:30:16,17:30:20,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
2,"""2"",""26",01/04/2021,17:30:31,17:30:30,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
3,"""3"",""27",02/04/2021,07:29:42,07:29:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
4,"""4"",""28",02/04/2021,07:29:42,07:29:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
5,"""5"",""29",02/04/2021,07:29:45,07:29:50,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
6,"""6"",""30",02/04/2021,07:29:45,07:29:50,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
7,"""7"",""31",02/04/2021,07:30:11,07:30:10,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
8,"""8"",""32",02/04/2021,07:30:18,07:30:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
9,"""9"",""33",02/04/2021,07:30:21,07:30:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
10,"""10"",""34",02/04/2021,07:30:22,07:30:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
11,"""11"",""35",02/04/2021,07:30:23,07:30:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
12,"""12"",""36",02/04/2021,07:30:24,07:30:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
13,"""13"",""37",02/04/2021,07:30:30,07:30:30,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
14,"""14"",""38",02/04/2021,07:30:34,07:30:30,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
15,"""15"",""39",02/04/2021,07:30:35,07:30:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
16,"""16"",""40",02/04/2021,07:30:35,07:30:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
17,"""17"",""41",02/04/2021,07:30:36,07:30:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
18,"""18"",""42",02/04/2021,07:30:39,07:30:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
19,"""19"",""43",02/04/2021,07:30:39,07:30:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
20,"""20"",""44",02/04/2021,07:31:20,07:31:20,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
21,"""21"",""45",02/04/2021,07:31:49,07:31:50,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
22,"""22"",""46",02/04/2021,07:32:06,07:32:10,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
23,"""23"",""47",02/04/2021,07:32:44,07:32:40,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
24,"""24"",""48",02/04/2021,07:33:58,07:34:00,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
25,"""25"",""49",02/04/2021,07:34:00,07:34:00,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
26,"""26"",""50",02/04/2021,07:34:00,07:34:00,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
27,"""27"",""51",02/04/2021,07:34:00,07:34:00,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
28,"""28"",""52",02/04/2021,07:34:09,07:34:10,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
29,"""29"",""53",02/04/2021,07:34:26,07:34:30,10,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
30,"""30"",""54",02/04/2021,07:35:29,07:35:30,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
31,"""31"",""55",02/04/2021,07:35:33,07:35:30,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
32,"""32"",""56",02/04/2021,07:35:33,07:35:30,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
33,"""33"",""57",02/04/2021,07:35:36,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
34,"""34"",""58",02/04/2021,07:35:36,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
35,"""35"",""59",02/04/2021,07:35:37,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
36,"""36"",""60",02/04/2021,07:35:37,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
37,"""37"",""61",02/04/2021,07:35:38,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
38,"""38"",""62",02/04/2021,07:35:39,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
39,"""39"",""63",02/04/2021,07:35:41,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
40,"""40"",""64",02/04/2021,07:35:41,07:35:40,30,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
41,"""41"",""65",02/04/2021,07:35:42,07:35:40,40,-,Trovan Unique,000783A8B7,-,0,0,-,""""""""""""
